x,y
1774.87,14.12
1775.23,10.95
1775.15,8.22
1775.74,14.25
1776.01,17.55
1776.26,23.11
1776.22,19.9
1776.35,27.82
1776.43,32.59
1776.52,37.36
1776.60,42.14
1776.70,46.74
1776.78,51.51
1776.85,56.4
1776.94,61.05
1777.02,65.76
1777.11,70.53
1777.19,75.3
1777.28,80.08
1777.36,84.76
1777.44,89.19
1777.54,93.82
1777.63,98.36
1777.71,102.38
1777.79,106.4
1777.87,110.42
1777.95,114.44
1778.03,118.46
1778.11,122.51
1778.19,126.5
1778.28,130.55
1778.36,134.57
1778.44,138.59
1778.63,142.67
1778.86,145.92
1778.81,150.13
1778.77,153.32
1779.21,140.22
1779.32,136.58
1779.44,132.91
1779.55,129.17
1779.66,125.15
1779.76,120.36
1779.83,116.81
1779.88,113.63
1779.98,110.05
1780.03,106.66
1780.10,103.41
1780.15,100.73
1780.20,97.55
1780.30,93.97
1780.35,90.58
1780.42,87.33
1780.51,84.14
1780.72,80.93
1780.90,77.66
1781.08,74.4
1781.26,71.13
1781.43,67.66
1781.50,64.89
1781.61,61.5
1781.73,57.64
1781.84,53.78
1781.95,49.92
1782.07,46.09
1782.18,42.22
1782.30,38.55
1782.48,35.63
1782.66,32.62
1782.84,29.43
1783.02,26.34
1783.21,23.45
1783.42,20.4
1783.67,17.11
1784.09,13.78
1784.20,11.47
1784.60,15.87
1784.81,18.6
1785.02,21.32
1785.22,24.04
1785.32,27.29
1785.40,31.09
1785.48,34.95
1785.56,38.78
1785.64,42.61
1785.72,46.41
1785.80,50.18
1785.88,54.05
1785.96,57.88
1786.04,61.71
1786.12,65.51
1786.20,69.37
1786.28,73.2
1786.36,76.94
1786.43,80.66
1786.50,83.97
1786.58,87.15
1786.66,90.42
1786.74,93.6
1786.82,96.78
1786.89,99.96
1786.97,103.19
1787.05,106.33
1787.13,109.51
1787.21,112.78
1787.28,115.96
1787.36,119.14
1787.44,122.32
1787.52,125.55
1787.59,128.65
1787.93,132.03
1788.58,131.18
1788.98,127.36
1789.23,124.06
1789.48,120.7
1789.67,117.0
1789.74,114.25
1789.86,111.03
1789.97,107.32
1790.09,103.71
1790.20,100.04
1790.32,96.3
1790.43,92.69
1790.55,89.08
1790.66,85.91
1790.78,82.89
1790.90,79.88
1791.02,76.87
1791.13,73.85
1791.25,70.84
1791.42,67.36
1791.78,64.54
1792.16,61.96
1792.47,59.22
1792.68,56.36
1792.90,53.38
1793.14,49.96
1793.46,46.64
1793.87,44.02
1794.25,41.45
1794.47,37.75
1794.58,34.9
1794.75,31.61
1794.87,28.68
1795.00,25.86
1795.20,22.47
1795.62,19.48
1796.09,16.84
1796.47,13.7
1796.78,10.61
1797.12,7.38
1797.67,5.44
1798.38,4.87
1798.97,6.34
